# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         196.487     4.72911e-11     4.72911e-11     4.72911e-11
          208.93     3.98874e-11     3.98874e-11     3.98874e-11
          222.16     3.36384e-11     3.36384e-11     3.36384e-11
         236.229     2.83649e-11     2.83649e-11     2.83649e-11
         251.189     2.39151e-11     2.39151e-11     2.39151e-11
         267.096     2.01609e-11     2.01609e-11     2.01609e-11
          284.01      1.6994e-11      1.6994e-11      1.6994e-11
         301.995     1.43228e-11     1.43228e-11     1.43228e-11
         321.119     1.20702e-11     1.20702e-11     1.20702e-11
         341.455     1.01706e-11     1.01706e-11     1.01706e-11
         363.078       8.569e-12       8.569e-12       8.569e-12
         386.071     7.21881e-12     7.21881e-12     7.21881e-12
         410.519     6.08069e-12     6.08069e-12     6.08069e-12
         436.516     5.12146e-12     5.12146e-12     5.12146e-12
         464.159     4.31308e-12     4.31308e-12     4.31308e-12
         493.552     3.63192e-12     3.63192e-12     3.63192e-12
         524.807     3.05801e-12     3.05801e-12     3.05801e-12
         558.042     2.57453e-12     2.57453e-12     2.57453e-12
         593.381     2.16727e-12     2.16727e-12     2.16727e-12
         630.957     1.82425e-12     1.82425e-12     1.82425e-12
         670.914     1.53537e-12     1.53537e-12     1.53537e-12
           713.4     1.29212e-12     1.29212e-12     1.29212e-12
         758.578     1.08729e-12     1.08729e-12     1.08729e-12
         806.616     9.14854e-13     9.14854e-13     9.14854e-13
         857.696     7.69691e-13     7.69691e-13     7.69691e-13
         912.011     6.47502e-13     6.47502e-13     6.47502e-13
         969.765     5.44662e-13     5.44662e-13     5.44662e-13
         1031.18     4.58114e-13     4.58114e-13     4.58114e-13
         1096.48     3.85285e-13     3.85285e-13     3.85285e-13
         1165.91     3.24006e-13     3.24006e-13     3.24006e-13
         1239.75      2.7245e-13      2.7245e-13      2.7245e-13
         1318.26     2.29078e-13     2.29078e-13     2.29078e-13
         1401.74     1.92595e-13     1.92595e-13     1.92595e-13
          1490.5     1.61908e-13     1.61908e-13     1.61908e-13
         1584.89       1.361e-13       1.361e-13       1.361e-13
         1685.26     1.14397e-13     1.14397e-13     1.14397e-13
         1791.98     9.61464e-14     9.61464e-14     9.61464e-14
         1905.46     8.08014e-14     8.08014e-14     8.08014e-14
         2026.13     6.79003e-14     6.79003e-14     6.79003e-14
         2154.43     5.70546e-14     5.70546e-14     5.70546e-14
         2290.87     4.79377e-14     4.79377e-14     4.79377e-14
         2435.94     4.02746e-14     4.02746e-14     4.02746e-14
          2590.2      3.3834e-14      3.3834e-14      3.3834e-14
         2754.23     2.84213e-14     2.84213e-14     2.84213e-14
         2928.64     2.38728e-14     2.38728e-14     2.38728e-14
         3114.11     2.00508e-14     2.00508e-14     2.00508e-14
         3311.31     1.68395e-14     1.68395e-14     1.68395e-14
         3521.01     1.41416e-14     1.41416e-14     1.41416e-14
         3743.98      1.1875e-14      1.1875e-14      1.1875e-14
         3981.07     9.97112e-15     9.97112e-15     9.97112e-15
         4233.18     8.37189e-15     8.37189e-15     8.37189e-15
         4501.25     7.02869e-15     7.02869e-15     7.02869e-15
          4786.3      5.9006e-15      5.9006e-15      5.9006e-15
          5089.4     4.95325e-15     4.95325e-15     4.95325e-15
          5411.7     4.15774e-15     4.15774e-15     4.15774e-15
          5754.4     3.48976e-15     3.48976e-15     3.48976e-15
         6118.81     2.92892e-15     2.92892e-15     2.92892e-15
         6506.29     2.45806e-15     2.45806e-15     2.45806e-15
         6918.31     2.06277e-15     2.06277e-15     2.06277e-15
         7356.42     1.73094e-15     1.73094e-15     1.73094e-15
         7822.28     1.45241e-15     1.45241e-15     1.45241e-15
         8317.64     1.21862e-15     1.21862e-15     1.21862e-15
         8844.37     1.02241e-15     1.02241e-15     1.02241e-15
         9404.45     8.57735e-16     8.57735e-16     8.57735e-16
